ma_khach_hang,ho_ten,gioi_tinh,so_dien_thoai,ngay_sinh,tinh_thanh,hang_thanh_vien,diem_tich_luy,ngay_dang_ky
KH0001,Hoàng Đức Vũ,Nam,84792449353,09/08/1997,Hải Phòng,,,27/05/2023
KH0002,Nguyễn Hữu Huy,M,0784278680,05/12/1969,Hồ Chí Minh,,,05/07/2024
KH0003,Nguyễn Thanh Kiên,Nam,+84353315869,1980,Bình Dương,Bạc,11754,26/07/2022
KH0004,Hoàng Minh Huy,m,84936073375,1979,Bình Dương,Kim Cương,18258,25/05/2020
KH0005,Bùi Thùy Thảo,f,0795014294,10/1971,Hồ Chí Minh,,,17/02/2024
KH0006,Dương Lan Nga,female,0916088356,11/10/1986,Huế,,,22/07/2022
KH0007,Phan Kim Yến,F,0976629946,07-05-1984,Hồ Chí Minh,,,15/11/2023
KH0008,Võ Xuân Huy,m,84961489513,05/04/1979,Hà Nội,Vàng,31138,28/02/2024
KH0009,Phan Lan Nga,f,+84367632016,17-12-1976,Hà Nội,,,28/02/2021
KH0010,Lê Bích Mai,Nữ,0799579868,28-12-1975,Đồng Nai,Kim Cương,49268,27/11/2021
KH0011,Hồ Thùy Quỳnh,f,84984714345,1999,Đà Nẵng,,,23/04/2021
KH0012,Phan Trọng Kiên,Nam,0386036690,01/1995,Bình Dương,,,24/12/2024
KH0013,Vũ Quang Long,Nam,0390656272,19/10/1990,Hải Phòng,,,05/08/2023
KH0014,Nguyễn Thanh Hải,male,0977556464,24/01/1995,Hồ Chí Minh,Vàng,42607,25/11/2020
KH0015,Hồ Văn Tuấn,M,+84909232719,12/1994,Bắc Ninh,,,24/12/2024
KH0016,Hồ Minh Long,Nam,+84770496631,12/1971,Hải Phòng,,,12/09/2020
KH0017,Bùi Thu Linh,Nữ,0785067165,07/1974,Đồng Nai,,,27/12/2023
KH0018,Huỳnh Thanh Hiền,Nữ,0327379965,06-06-1996,Đà Nẵng,Kim Cương,16931,09/10/2022
KH0019,Võ Thị Yến,F,0923678377,1966,Bình Dương,,,10/11/2021
KH0020,Vũ Thùy Yến,female,+84378557444,12/1972,Hải Phòng,,,25/12/2024
KH0021,Phạm Quang Khải,Nam,+84329894134,10/03/1988,Bắc Ninh,Kim Cương,2982,18/05/2020
KH0022,Bùi Xuân Dũng,Nam,84774777520,27/02/1995,Bình Dương,,,19/11/2020
KH0023,Lê Minh Huy,Nam,+84331318699,15-07-1998,Huế,,,10/10/2023
KH0024,Đặng Đức Huy,M,0783412328,14-01-1975,Đồng Nai,Kim Cương,2139,10/12/2021
KH0025,Đỗ Bích Linh,f,+84984936183,03/03/1982,Bắc Ninh,Kim Cương,38996,10/08/2024
KH0026,Vũ Thanh Khải,Nam,0328877190,09/10/1985,Hải Phòng,Vàng,44190,19/01/2024
KH0027,Đặng Thị Dung,F,0398742967,06/1995,Hồ Chí Minh,,,28/03/2020
