ma_nhan_vien,ho_ten,gioi_tinh,bo_phan,chuc_vu,ma_cua_hang,ngay_vao_lam,luong_co_ban,so_dien_thoai,ghi_chu
NV0001,Đặng Trọng Thắng,Nam,Kho vận,Nhân viên giao hàng,CH019,2024-07-11,9.415.551,0982730346,
NV0002,Dương Minh Mạnh,Nữ,,Nhân viên giao hàng,CH022,2021-02-05,"9,310,000",0346262446,
NV0003,Trần Xuân Hùng,Nữ,,Nhân viên giao hàng,CH010,22/01/2019,9.981.782 VND,0914622681,
NV0004,Huỳnh Quang Khánh,Nữ,,Trưởng kho,CH025,2022-09-17,"13,153,000",0925160252,
NV0005,Lê Lan Hoa,Nữ,,Nhân viên kho,CH020,"Tháng 10, 2022",8.409.252,0380766046,
NV0006,Lê Quang Kiên,Nữ,,Trưởng kho,CH004,"Tháng 5, 2023","13,103,000",0781978575,
NV0007,Hoàng Thu Quỳnh,Nữ,,Nhân viên giao hàng,CH024,"Tháng 6, 2018","9,699,000",0932686120,
NV0008,Dương Thu Thảo,Nữ,,Nhân viên giao hàng,CH005,2022-07-09,9.399.659,0774389760,
NV0009,Lê Phương Mai,Nữ,,Nhân viên kho,CH001,"Tháng 8, 2018",8.465.152,0330177509,
NV0010,Hồ Xuân Mạnh,Nữ,,Nhân viên giao hàng,CH022,04/04/2023,9.000.074,0326540842,
NV0011,Hoàng Kim Mai,Nam,,Trưởng kho,CH015,2018-10-16,13.900.267 VND,0356075409,
NV0012,Dương Xuân Hải,Nam,,Trưởng kho,CH011,22/10/2021,"13,708,000",0350863218,
NV0013,Đặng Lan Phương,Nam,,Nhân viên kho,CH006,2022-10-27,7.641.704,0942764579,
NV0014,Võ Đức Mạnh,Nam,,Trưởng kho,CH025,21/05/2021,12.567.685 VND,0709701550,
NV0015,Đặng Văn Tuấn,Nữ,,Nhân viên kho,CH017,"Tháng 12, 2021",8.691.284,0761681546,
NV0016,Đặng Trọng Phong,Nữ,,Trưởng kho,CH009,22/02/2023,12.660.176 VND,0902416139,
NV0017,Dương Thanh Quỳnh,Nữ,,Trưởng kho,CH015,"Tháng 5, 2023","13,113,000",0339883059,
NV0018,Huỳnh Thùy Yến,Nữ,,Nhân viên giao hàng,CH021,2018-01-12,"10,479,000",0976424809,
NV0019,Đỗ Lan Thảo,Nam,,Nhân viên kho,CH017,"Tháng 7, 2024",7.619.786,0964406306,
NV0020,Hoàng Thanh Dũng,Nam,,Nhân viên kho,CH026,2019-09-10,8.697.647 VND,0324795133,
NV0021,Đặng Đức Long,Nữ,,Trưởng kho,CH002,11/09/2022,13.423.668,0343194979,
NV0022,Ngô Bích Trang,Nữ,,Trưởng kho,CH008,06/11/2019,"13,795,000",0789586780,
NV0023,Bùi Minh Hải,Nam,,Trưởng kho,CH016,03/11/2024,"12,970,000",0345572773,
NV0024,Phạm Thu Nga,Nữ,,Nhân viên kho,CH016,24/06/2021,8.953.479,0364609178,
NV0025,Phạm Lan Hiền,Nữ,,Trưởng kho,CH003,18/03/2024,"13,354,000",0923854457,
NV0026,Đỗ Ngọc Trang,Nữ,,Nhân viên giao hàng,CH002,2024-01-27,"9,050,000",0902992959,
NV0027,Trần Thu Lan,Nam,,Nhân viên giao hàng,CH025,"Tháng 6, 2024",10.293.165,0370487368,
NV0028,Nguyễn Lan Yến,Nữ,,Trưởng kho,CH012,2022-10-17,13.098.227 VND,0369116331,
NV0029,Dương Quang Thắng,Nữ,,Trưởng kho,CH006,04/03/2020,"13,657,000",0962686536,
NV0030,Đỗ Bích Yến,Nam,,Trưởng kho,CH012,10/08/2019,13.981.265,0345158886,
NV0031,Trần Bích Yến,Nữ,,Nhân viên kho,CH023,23/04/2022,7.581.396 VND,0367747226,
NV0032,Bùi Lan Nga,Nữ,,Nhân viên giao hàng,CH013,"Tháng 6, 2023",10.377.705,0908572169,
NV0033,Bùi Bích Quỳnh,Nam,,Nhân viên kho,CH010,"Tháng 11, 2024","8,248,000",0376309329,
NV0034,Đặng Bá Kiên,Nữ,,Nhân viên giao hàng,CH013,18/10/2019,9.044.287 VND,0769605932,
NV0035,Lê Hoài Hải,Nam,,Trưởng kho,CH005,2024-12-08,12.838.489 VND,0925096883,
NV0036,Ngô Trọng Thắng,Nữ,,Nhân viên giao hàng,CH004,"Tháng 3, 2021",9.566.228,0385327352,
NV0037,Bùi Lan Quỳnh,Nữ,,Nhân viên kho,CH026,14/05/2021,7.966.098 VND,0920397739,
NV0038,Dương Thùy Yến,Nam,,Trưởng kho,CH001,2019-07-01,13.325.533 VND,0982781952,
NV0039,Đỗ Bích Yến,Nam,,Trưởng kho,CH012,24/12/2022,12.720.292 VND,0381006876,
NV0040,Phạm Thu Lan,Nữ,,Trưởng kho,CH024,28/12/2023,"12,844,000",0374819807,
NV0041,Võ Xuân Kiên,Nữ,,Nhân viên giao hàng,CH018,2018-01-20,10.246.661,0914605687,
NV0042,Dương Kim Yến,Nữ,,Trưởng kho,CH005,22/11/2022,"12,662,000",0931249125,
NV0043,Ngô Trọng Đạt,Nam,,Nhân viên giao hàng,CH015,2021-08-23,10.437.320,0342373415,
NV0044,Lê Thị Nga,Nữ,,Trưởng kho,CH014,17/06/2021,"12,511,000",0387345475,
NV0045,Dương Hữu Vũ,Nữ,,Trưởng kho,CH023,"Tháng 9, 2020",13.072.580,0329490228,
NV0046,Phan Thị Hằng,Nữ,,Nhân viên giao hàng,CH005,"Tháng 5, 2023","9,120,000",0903595442,
NV0047,Hoàng Văn Hải,Nữ,,Nhân viên giao hàng,CH020,2023-05-06,"9,294,000",0397422294,
NV0048,Huỳnh Lan Phương,Nam,,Nhân viên kho,CH015,2020-11-17,"8,823,000",0323039429,
